[2025-01-19T12:11:24.146Z] INFO: Server is running on port 3000
[2025-01-19T12:11:27.050Z] INFO: Connected to MongoDB
[2025-01-19T12:12:39.881Z] INFO: Server is running on port 3000
[2025-01-19T12:12:42.678Z] INFO: Connected to MongoDB
[2025-01-19T12:15:37.450Z] INFO: Server is running on port 3000
[2025-01-19T12:15:38.404Z] INFO: Connected to MongoDB
[2025-01-19T12:26:57.308Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:26:57.557Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:26:57.704Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 9.00 ms
[2025-01-19T12:26:57.708Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:26:57.875Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:26:58.099Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:26:58.234Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:26:58.240Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:26:58.439Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:26:58.651Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:26:58.812Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:26:58.817Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:26:59.055Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:26:59.270Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:26:59.421Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:26:59.425Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:26:59.587Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:26:59.823Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:26:59.977Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:26:59.980Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:27:00.147Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:27:00.590Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:27:00.718Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:27:00.721Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:27:00.969Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:27:01.176Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:27:01.305Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:27:01.310Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 2.00 ms
[2025-01-19T12:27:01.533Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
[2025-01-19T12:27:01.797Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 3.00 ms
[2025-01-19T12:27:01.940Z] INFO: MT: GET | PA: /logs | AU: Authenticated | ST: 200 | RT: 1.00 ms
